PLAYER_NAME,PER,TS%,USG%,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional,SEASON
Davion Mitchell,10.2,.573,13.6,3.0,.070,-2.8,0.2,-2.6,-0.3,mitchda01,2024-25
Davion Mitchell,7.9,.536,13.1,0.7,.031,-4.0,-0.3,-4.3,-0.6,mitchda01,2024-25
Davion Mitchell,12.9,.611,14.2,2.3,.114,-1.5,0.8,-0.6,0.3,mitchda01,2024-25
Franz Wagner,20.1,.558,31.0,5.6,.133,2.6,0.5,3.1,2.6,wagnefr01,2024-25
Quentin Grimes,15.9,.595,22.8,3.4,.081,1.3,-0.9,0.4,1.2,grimequ01,2024-25
Quentin Grimes,13.3,.599,18.5,1.7,.078,0.1,-0.4,-0.3,0.5,grimequ01,2024-25
Quentin Grimes,18.8,.592,27.5,1.6,.083,2.7,-1.5,1.2,0.8,grimequ01,2024-25
Jordan Poole,16.6,.591,29.0,2.0,.047,2.0,-1.6,0.4,1.2,poolejo01,2024-25
Draymond Green,12.4,.534,15.9,3.7,.088,-2.3,2.8,0.5,1.3,greendr01,2024-25
Devin Vassell,14.2,.553,22.1,2.2,.054,-0.3,-0.8,-1.1,0.4,vassede01,2024-25
Klay Thompson,12.9,.552,21.8,1.8,.045,0.7,-1.6,-1.0,0.5,thompkl01,2024-25
Tyrese Maxey,19.5,.562,29.8,3.8,.094,3.2,-1.1,2.0,2.0,maxeyty01,2024-25
Norman Powell,17.5,.615,26.1,5.3,.129,1.7,-0.2,1.5,1.8,powelno01,2024-25
Yves Missi,15.4,.572,14.3,3.6,.089,-1.6,-1.4,-3.0,-0.5,missiyv01,2024-25
Keon Ellis,13.5,.664,12.7,5.0,.122,-0.1,2.0,1.9,1.9,elliske01,2024-25
Bilal Coulibaly,10.8,.515,17.9,0.3,.008,-3.0,-0.7,-3.7,-0.8,coulibi01,2024-25
Kyle Kuzma,10.6,.514,24.0,-0.9,-0.024,-2.9,-2.0,-4.9,-1.4,kuzmaky01,2024-25
Kyle Kuzma,10.6,.488,27.1,-1.3,-0.068,-3.0,-2.3,-5.2,-0.7,kuzmaky01,2024-25
Kyle Kuzma,10.5,.545,21.4,0.3,.014,-2.9,-1.8,-4.7,-0.7,kuzmaky01,2024-25
Julian Champagnie,12.2,.577,17.2,2.5,.062,-0.3,-0.9,-1.3,0.4,champju02,2024-25
Keon Johnson,10.4,.499,21.7,0.5,.014,-3.1,-0.1,-3.3,-0.6,johnske07,2024-25
Naji Marshall,15.1,.584,20.0,3.5,.087,-0.3,-0.5,-0.8,0.6,marshna01,2024-25
Jrue Holiday,13.5,.565,15.8,5.1,.130,-0.3,1.0,0.7,1.3,holidjr01,2024-25
Guerschon Yabusele,14.7,.616,16.3,3.9,.099,0.1,-1.1,-1.0,0.5,yabusgu01,2024-25
Gary Trent Jr.,11.7,.591,17.1,3.3,.084,-1.2,-0.4,-1.6,0.2,trentga02,2024-25
Anthony Black,11.6,.521,19.6,2.4,.061,-3.1,1.2,-1.9,0.0,blackan01,2024-25
Josh Green,7.8,.559,11.8,1.5,.037,-4.5,0.2,-4.3,-1.1,greenjo02,2024-25
Nic Claxton,16.5,.569,16.8,4.3,.110,-1.1,1.5,0.4,1.1,claxtni01,2024-25
Andrew Nembhard,11.7,.545,16.3,2.8,.071,-2.6,0.3,-2.3,-0.1,nembhan01,2024-25
